Date,NAV Unit Price,Entry Price,Exit Price
20/09/2023,1.6224,1.624,1.6208
19/09/2023,1.6455,1.6471,1.6439
18/09/2023,1.6553,1.657,1.6536
15/09/2023,1.6561,1.6578,1.6544
14/09/2023,1.6699,1.6716,1.6682
13/09/2023,1.6717,1.6734,1.67
12/09/2023,1.6668,1.6685,1.6651
11/09/2023,1.6741,1.6758,1.6724
8/09/2023,1.6808,1.6825,1.6791
7/09/2023,1.6915,1.6932,1.6898
6/09/2023,1.6955,1.6972,1.6938
5/09/2023,1.704,1.7057,1.7023
4/09/2023,1.6964,1.6981,1.6947
1/09/2023,1.6994,1.7011,1.6977
31/08/2023,1.686,1.6877,1.6843
30/08/2023,1.6852,1.6869,1.6835
29/08/2023,1.69,1.6917,1.6883
28/08/2023,1.67,1.6717,1.6683
25/08/2023,1.667,1.6687,1.6653
24/08/2023,1.6371,1.6387,1.6355
23/08/2023,1.6484,1.65,1.6468
22/08/2023,1.6422,1.6438,1.6406
21/08/2023,1.6537,1.6554,1.652
18/08/2023,1.6519,1.6536,1.6502
17/08/2023,1.6574,1.6591,1.6557
16/08/2023,1.6603,1.662,1.6586
15/08/2023,1.6621,1.6638,1.6604
14/08/2023,1.6786,1.6803,1.6769
11/08/2023,1.663,1.6647,1.6613
10/08/2023,1.6556,1.6573,1.6539
9/08/2023,1.661,1.6627,1.6593
8/08/2023,1.67,1.6717,1.6683
7/08/2023,1.6592,1.6609,1.6575
4/08/2023,1.6392,1.6408,1.6376
3/08/2023,1.6505,1.6522,1.6488
2/08/2023,1.6552,1.6569,1.6535
1/08/2023,1.6482,1.6498,1.6466
31/07/2023,1.6236,1.6252,1.622
28/07/2023,1.6426,1.6442,1.641
27/07/2023,1.6139,1.6155,1.6123
26/07/2023,1.6226,1.6242,1.621
25/07/2023,1.6054,1.607,1.6038
24/07/2023,1.6078,1.6094,1.6062
21/07/2023,1.6089,1.6105,1.6073
20/07/2023,1.5822,1.5838,1.5806
19/07/2023,1.6097,1.6113,1.6081
18/07/2023,1.5934,1.595,1.5918
17/07/2023,1.5877,1.5893,1.5861
14/07/2023,1.5778,1.5794,1.5762
13/07/2023,1.5613,1.5629,1.5597
12/07/2023,1.5704,1.572,1.5688
11/07/2023,1.5969,1.5985,1.5953
10/07/2023,1.5848,1.5864,1.5832
7/07/2023,1.5657,1.5673,1.5641
6/07/2023,1.5922,1.5938,1.5906
5/07/2023,1.5906,1.5922,1.589
4/07/2023,1.5832,1.5848,1.5816
3/07/2023,1.5873,1.5889,1.5857
30/06/2023,1.7527,1.7545,1.7509
29/06/2023,1.7444,1.7461,1.7427
28/06/2023,1.7405,1.7422,1.7388
27/06/2023,1.7141,1.7158,1.7124
26/06/2023,1.7007,1.7024,1.699
23/06/2023,1.7109,1.7126,1.7092
22/06/2023,1.6997,1.7014,1.698
21/06/2023,1.6896,1.6913,1.6879
20/06/2023,1.6995,1.7012,1.6978
19/06/2023,1.7004,1.7021,1.6987
16/06/2023,1.6954,1.6971,1.6937
15/06/2023,1.696,1.6977,1.6943
14/06/2023,1.6773,1.679,1.6756
13/06/2023,1.6733,1.675,1.6716
9/06/2023,1.657,1.6587,1.6553
8/06/2023,1.6611,1.6628,1.6594
7/06/2023,1.6643,1.666,1.6626
6/06/2023,1.6888,1.6905,1.6871
5/06/2023,1.6955,1.6972,1.6938
2/06/2023,1.7026,1.7043,1.7009
1/06/2023,1.6843,1.686,1.6826
31/05/2023,1.6911,1.6928,1.6894
30/05/2023,1.6885,1.6902,1.6868
29/05/2023,1.6939,1.6956,1.6922
26/05/2023,1.7028,1.7045,1.7011
25/05/2023,1.6835,1.6852,1.6818
24/05/2023,1.6658,1.6675,1.6641
23/05/2023,1.6646,1.6663,1.6629
22/05/2023,1.6911,1.6928,1.6894
19/05/2023,1.6863,1.688,1.6846
18/05/2023,1.6995,1.7012,1.6978
17/05/2023,1.6772,1.6789,1.6755
16/05/2023,1.6632,1.6649,1.6615
15/05/2023,1.6681,1.6698,1.6664
12/05/2023,1.6726,1.6743,1.6709
11/05/2023,1.6605,1.6622,1.6588
10/05/2023,1.6335,1.6351,1.6319
9/05/2023,1.6232,1.6248,1.6216
8/05/2023,1.6257,1.6273,1.6241
5/05/2023,1.6371,1.6387,1.6355
4/05/2023,1.6286,1.6302,1.627
3/05/2023,1.6364,1.638,1.6348
2/05/2023,1.652,1.6537,1.6503
1/05/2023,1.676,1.6777,1.6743
28/04/2023,1.6821,1.6838,1.6804
27/04/2023,1.6655,1.6672,1.6638
26/04/2023,1.6411,1.6427,1.6395
24/04/2023,1.6447,1.6463,1.6431
21/04/2023,1.6503,1.652,1.6486
20/04/2023,1.6255,1.6271,1.6239
19/04/2023,1.6365,1.6381,1.6349
18/04/2023,1.6315,1.6331,1.6299
17/04/2023,1.6494,1.651,1.6478
14/04/2023,1.6425,1.6441,1.6409
13/04/2023,1.6379,1.6395,1.6363
12/04/2023,1.6303,1.6319,1.6287
11/04/2023,1.6431,1.6447,1.6415
6/04/2023,1.6436,1.6452,1.642
5/04/2023,1.6265,1.6281,1.6249
4/04/2023,1.6228,1.6244,1.6212
3/04/2023,1.6084,1.61,1.6068
31/03/2023,1.6321,1.6337,1.6305
30/03/2023,1.6059,1.6075,1.6043
29/03/2023,1.6048,1.6064,1.6032
28/03/2023,1.5847,1.5863,1.5831
27/03/2023,1.6028,1.6044,1.6012
24/03/2023,1.6082,1.6098,1.6066
23/03/2023,1.5796,1.5812,1.578
22/03/2023,1.5754,1.577,1.5738
21/03/2023,1.6138,1.6154,1.6122
20/03/2023,1.5761,1.5777,1.5745
17/03/2023,1.5752,1.5768,1.5736
16/03/2023,1.5864,1.588,1.5848
15/03/2023,1.5566,1.5582,1.555
14/03/2023,1.5533,1.5549,1.5517
13/03/2023,1.5235,1.525,1.522
10/03/2023,1.5309,1.5324,1.5294
9/03/2023,1.561,1.5626,1.5594
8/03/2023,1.5792,1.5808,1.5776
7/03/2023,1.5797,1.5813,1.5781
6/03/2023,1.5725,1.5741,1.5709
3/03/2023,1.568,1.5696,1.5664
2/03/2023,1.5503,1.5519,1.5487
1/03/2023,1.5254,1.5269,1.5239
28/02/2023,1.5357,1.5372,1.5342
27/02/2023,1.5364,1.5379,1.5349
24/02/2023,1.5337,1.5352,1.5322
23/02/2023,1.5436,1.5451,1.5421
22/02/2023,1.5356,1.5371,1.5341
21/02/2023,1.5255,1.527,1.524
20/02/2023,1.5507,1.5523,1.5491
17/02/2023,1.5653,1.5669,1.5637
16/02/2023,1.571,1.5726,1.5694
15/02/2023,1.5959,1.5975,1.5943
14/02/2023,1.563,1.5646,1.5614
13/02/2023,1.5598,1.5614,1.5582
10/02/2023,1.5443,1.5458,1.5428
9/02/2023,1.5392,1.5407,1.5377
8/02/2023,1.5823,1.5839,1.5807
7/02/2023,1.6041,1.6057,1.6025
6/02/2023,1.5948,1.5964,1.5932
3/02/2023,1.5875,1.5891,1.5859
2/02/2023,1.5794,1.581,1.5778
1/02/2023,1.5556,1.5572,1.554
31/01/2023,1.5406,1.5421,1.5391
30/01/2023,1.5168,1.5183,1.5153
27/01/2023,1.5302,1.5317,1.5287
