Date,Application Price,Net Asset Value,Redemption Price
22/09/2023,3.9606,3.9488,3.937
21/09/2023,4.0023,3.9903,3.9783
20/09/2023,4.0762,4.064,4.0518
19/09/2023,4.1513,4.1389,4.1265
18/09/2023,4.2001,4.1875,4.1749
15/09/2023,4.2169,4.2043,4.1917
14/09/2023,4.2698,4.257,4.2442
13/09/2023,4.2697,4.2569,4.2441
12/09/2023,4.2513,4.2386,4.2259
11/09/2023,4.3021,4.2892,4.2763
8/09/2023,4.2296,4.2169,4.2042
7/09/2023,4.251,4.2383,4.2256
6/09/2023,4.2535,4.2408,4.2281
5/09/2023,4.2735,4.2607,4.2479
4/09/2023,4.1809,4.1684,4.1559
1/09/2023,4.1826,4.1701,4.1576
31/08/2023,4.1773,4.1648,4.1523
30/08/2023,4.1564,4.144,4.1316
29/08/2023,4.1606,4.1482,4.1358
28/08/2023,4.0617,4.0496,4.0375
25/08/2023,4.0604,4.0483,4.0362
24/08/2023,3.9533,3.9415,3.9297
23/08/2023,4.0338,4.0217,4.0096
22/08/2023,3.9959,3.9839,3.9719
21/08/2023,4.0031,3.9911,3.9791
18/08/2023,3.9227,3.911,3.8993
17/08/2023,3.9305,3.9187,3.9069
16/08/2023,3.984,3.9721,3.9602
15/08/2023,4.0056,3.9936,3.9816
14/08/2023,4.0742,4.062,4.0498
11/08/2023,4.0275,4.0155,4.0035
10/08/2023,4.023,4.011,3.999
9/08/2023,4.0182,4.0062,3.9942
8/08/2023,4.078,4.0658,4.0536
7/08/2023,4.1032,4.0909,4.0786
4/08/2023,4.0676,4.0554,4.0432
3/08/2023,4.1193,4.107,4.0947
2/08/2023,4.1218,4.1095,4.0972
1/08/2023,4.2019,4.1893,4.1767
31/07/2023,4.1483,4.1359,4.1235
28/07/2023,4.1521,4.1397,4.1273
27/07/2023,3.9994,3.9874,3.9754
26/07/2023,4.038,4.0259,4.0138
25/07/2023,4.0289,4.0168,4.0047
24/07/2023,4.0739,4.0617,4.0495
21/07/2023,4.0926,4.0804,4.0682
20/07/2023,4.0677,4.0555,4.0433
19/07/2023,4.2368,4.2241,4.2114
18/07/2023,4.1838,4.1713,4.1588
17/07/2023,4.1582,4.1458,4.1334
14/07/2023,4.0841,4.0719,4.0597
13/07/2023,4.0391,4.027,4.0149
12/07/2023,4.0162,4.0042,3.9922
11/07/2023,4.0515,4.0394,4.0273
10/07/2023,4.0124,4.0004,3.9884
7/07/2023,3.9761,3.9642,3.9523
6/07/2023,4.0133,4.0013,3.9893
5/07/2023,4.0554,4.0433,4.0312
4/07/2023,4.0199,4.0079,3.9959
3/07/2023,4.0297,4.0176,4.0055
30/06/2023,4.0174,4.0054,3.9934
29/06/2023,3.9737,3.9618,3.9499
28/06/2023,3.9898,3.9779,3.966
27/06/2023,3.9024,3.8907,3.879
26/06/2023,3.8385,3.827,3.8155
23/06/2023,3.9086,3.8969,3.8852
22/06/2023,3.8994,3.8877,3.876
21/06/2023,3.8537,3.8422,3.8307
20/06/2023,3.9322,3.9204,3.9086
19/06/2023,3.8817,3.8701,3.8585
16/06/2023,3.8729,3.8613,3.8497
15/06/2023,3.8779,3.8663,3.8547
14/06/2023,3.8403,3.8288,3.8173
13/06/2023,3.8483,3.8368,3.8253
12/06/2023,3.83,3.8185,3.807
9/06/2023,3.7627,3.7514,3.7401
8/06/2023,3.7563,3.7451,3.7339
7/06/2023,3.7321,3.7209,3.7097
6/06/2023,3.8302,3.8187,3.8072
5/06/2023,3.8321,3.8206,3.8091
2/06/2023,3.8068,3.7954,3.784
1/06/2023,3.7935,3.7822,3.7709
31/05/2023,3.7999,3.7885,3.7771
30/05/2023,3.7694,3.7581,3.7468
29/05/2023,3.7332,3.722,3.7108
26/05/2023,3.7691,3.7578,3.7465
25/05/2023,3.6444,3.6335,3.6226
24/05/2023,3.5872,3.5765,3.5658
23/05/2023,3.5576,3.547,3.5364
22/05/2023,3.6022,3.5914,3.5806
19/05/2023,3.5587,3.5481,3.5375
18/05/2023,3.5935,3.5828,3.5721
17/05/2023,3.4925,3.4821,3.4717
16/05/2023,3.4041,3.3939,3.3837
15/05/2023,3.3819,3.3718,3.3617
12/05/2023,3.3799,3.3698,3.3597
11/05/2023,3.3876,3.3775,3.3674
10/05/2023,3.3483,3.3383,3.3283
9/05/2023,3.3275,3.3175,3.3075
8/05/2023,3.305,3.2951,3.2852
5/05/2023,3.3102,3.3003,3.2904
4/05/2023,3.2937,3.2838,3.2739
3/05/2023,3.2992,3.2893,3.2794
2/05/2023,3.3041,3.2942,3.2843
1/05/2023,3.3429,3.3329,3.3229
28/04/2023,3.3853,3.3752,3.3651
27/04/2023,3.3644,3.3543,3.3442
26/04/2023,3.3018,3.2919,3.282
25/04/2023,3.2724,3.2626,3.2528
24/04/2023,3.3273,3.3173,3.3073
21/04/2023,3.348,3.338,3.328
20/04/2023,3.2856,3.2758,3.266
19/04/2023,3.3578,3.3478,3.3378
18/04/2023,3.3546,3.3446,3.3346
17/04/2023,3.3737,3.3636,3.3535
14/04/2023,3.3519,3.3419,3.3319
13/04/2023,3.3475,3.3375,3.3275
12/04/2023,3.2955,3.2856,3.2757
11/04/2023,3.3536,3.3436,3.3336
10/04/2023,3.3777,3.3676,3.3575
6/04/2023,3.3644,3.3543,3.3442
5/04/2023,3.3309,3.3209,3.3109
4/04/2023,3.3722,3.3621,3.352
3/04/2023,3.3449,3.3349,3.3249
31/03/2023,3.4231,3.4129,3.4027
30/03/2023,3.3303,3.3203,3.3103
29/03/2023,3.3079,3.298,3.2881
28/03/2023,3.2258,3.2162,3.2066
27/03/2023,3.2753,3.2655,3.2557
24/03/2023,3.2698,3.26,3.2502
23/03/2023,3.254,3.2443,3.2346
22/03/2023,3.2576,3.2479,3.2382
21/03/2023,3.3388,3.3288,3.3188
20/03/2023,3.2215,3.2119,3.2023
17/03/2023,3.237,3.2273,3.2176
16/03/2023,3.2816,3.2718,3.262
15/03/2023,3.2,3.1904,3.1808
14/03/2023,3.1848,3.1753,3.1658
13/03/2023,3.084,3.0748,3.0656
10/03/2023,3.0952,3.0859,3.0766
9/03/2023,3.1548,3.1454,3.136
8/03/2023,3.2405,3.2308,3.2211
7/03/2023,3.2557,3.246,3.2363
6/03/2023,3.2307,3.221,3.2113
3/03/2023,3.2246,3.215,3.2054
2/03/2023,3.1591,3.1497,3.1403
1/03/2023,3.1246,3.1153,3.106
28/02/2023,3.1591,3.1497,3.1403
27/02/2023,3.1651,3.1556,3.1461
24/02/2023,3.1402,3.1308,3.1214
23/02/2023,3.1564,3.147,3.1376
22/02/2023,3.1401,3.1307,3.1213
21/02/2023,3.0879,3.0787,3.0695
20/02/2023,3.1615,3.152,3.1425
17/02/2023,3.1922,3.1827,3.1732
16/02/2023,3.2209,3.2113,3.2017
15/02/2023,3.2963,3.2864,3.2765
14/02/2023,3.1941,3.1845,3.1749
13/02/2023,3.1407,3.1313,3.1219
10/02/2023,3.118,3.1087,3.0994
9/02/2023,3.1482,3.1388,3.1294
8/02/2023,3.1824,3.1729,3.1634
7/02/2023,3.2239,3.2143,3.2047
6/02/2023,3.2031,3.1935,3.1839
3/02/2023,3.1835,3.174,3.1645
2/02/2023,3.2087,3.1991,3.1895
1/02/2023,3.0907,3.0815,3.0723
31/01/2023,3.0271,3.018,3.0089
30/01/2023,2.9378,2.929,2.9202
27/01/2023,3.0104,3.0014,2.9924
26/01/2023,2.9378,2.929,2.9202
25/01/2023,2.8469,2.8384,2.8299
24/01/2023,2.8518,2.8433,2.8348
23/01/2023,2.8741,2.8655,2.8569
20/01/2023,2.8387,2.8302,2.8217
19/01/2023,2.764,2.7557,2.7474
18/01/2023,2.7334,2.7252,2.717
17/01/2023,2.7759,2.7676,2.7593
16/01/2023,2.7578,2.7496,2.7414
13/01/2023,2.7586,2.7503,2.742
12/01/2023,2.7507,2.7425,2.7343
11/01/2023,2.7328,2.7246,2.7164
10/01/2023,2.6659,2.6579,2.6499
9/01/2023,2.6237,2.6159,2.6081
6/01/2023,2.6119,2.6041,2.5963
5/01/2023,2.5861,2.5784,2.5707
4/01/2023,2.6188,2.611,2.6032
3/01/2023,2.6252,2.6173,2.6094
30/12/2022,2.6319,2.624,2.6161
29/12/2022,2.6438,2.6359,2.628
28/12/2022,2.5542,2.5466,2.539
27/12/2022,2.5761,2.5684,2.5607
23/12/2022,2.644,2.6361,2.6282
22/12/2022,2.6496,2.6417,2.6338
21/12/2022,2.7189,2.7108,2.7027
20/12/2022,2.7113,2.7032,2.6951
19/12/2022,2.7086,2.7005,2.6924
16/12/2022,2.7731,2.7648,2.7565
15/12/2022,2.801,2.7926,2.7842
14/12/2022,2.847,2.8385,2.83
13/12/2022,2.8535,2.845,2.8365
12/12/2022,2.8678,2.8592,2.8506
9/12/2022,2.823,2.8146,2.8062
8/12/2022,2.832,2.8235,2.815
7/12/2022,2.8066,2.7982,2.7898
6/12/2022,2.8321,2.8236,2.8151
5/12/2022,2.8713,2.8627,2.8541
2/12/2022,2.9658,2.9569,2.948
1/12/2022,2.9731,2.9642,2.9553
30/11/2022,3.0171,3.0081,2.9991
29/11/2022,2.8394,2.8309,2.8224
28/11/2022,2.8724,2.8638,2.8552
25/11/2022,2.8814,2.8728,2.8642
24/11/2022,2.8785,2.8699,2.8613
23/11/2022,2.8979,2.8892,2.8805
22/11/2022,2.869,2.8604,2.8518
21/11/2022,2.8456,2.8371,2.8286
18/11/2022,2.8767,2.8681,2.8595
17/11/2022,2.9159,2.9072,2.8985
16/11/2022,2.9281,2.9193,2.9105
15/11/2022,2.9786,2.9697,2.9608
14/11/2022,2.9434,2.9346,2.9258
11/11/2022,3.004,2.995,2.986
10/11/2022,2.9624,2.9535,2.9446
9/11/2022,2.7719,2.7636,2.7553
8/11/2022,2.8338,2.8253,2.8168
7/11/2022,2.8442,2.8357,2.8272
4/11/2022,2.8466,2.8381,2.8296
3/11/2022,2.897,2.8883,2.8796
2/11/2022,2.9092,2.9005,2.8918
1/11/2022,3.0695,3.0603,3.0511
31/10/2022,3.1097,3.1004,3.0911
28/10/2022,3.1409,3.1315,3.1221
27/10/2022,3.0758,3.0666,3.0574
26/10/2022,3.0736,3.0644,3.0552
25/10/2022,3.1989,3.1893,3.1797
24/10/2022,3.1535,3.1441,3.1347
21/10/2022,3.1217,3.1124,3.1031
20/10/2022,3.0396,3.0305,3.0214
19/10/2022,3.0861,3.0769,3.0677
18/10/2022,3.1086,3.0993,3.09
17/10/2022,3.0702,3.061,3.0518
14/10/2022,2.9495,2.9407,2.9319
13/10/2022,3.0808,3.0716,3.0624
12/10/2022,3.0293,3.0202,3.0111
11/10/2022,2.9987,2.9897,2.9807
10/10/2022,3.0643,3.0551,3.0459
7/10/2022,3.0524,3.0433,3.0342
6/10/2022,3.1777,3.1682,3.1587
5/10/2022,3.1862,3.1767,3.1672
4/10/2022,3.1778,3.1683,3.1588
3/10/2022,3.0427,3.0336,3.0245
30/09/2022,3.0461,3.037,3.0279
29/09/2022,3.0666,3.0574,3.0482
28/09/2022,3.1522,3.1428,3.1334
27/09/2022,3.0741,3.0649,3.0557
26/09/2022,3.0396,3.0305,3.0214
23/09/2022,3.0316,3.0225,3.0134
22/09/2022,3.0557,3.0466,3.0375
21/09/2022,3.1197,3.1104,3.1011
20/09/2022,3.1666,3.1571,3.1476
19/09/2022,3.216,3.2064,3.1968
16/09/2022,3.2023,3.1927,3.1831
15/09/2022,3.2526,3.2429,3.2332
14/09/2022,3.2847,3.2749,3.2651
13/09/2022,3.24,3.2303,3.2206
12/09/2022,3.3636,3.3535,3.3434
9/09/2022,3.3455,3.3355,3.3255
8/09/2022,3.2942,3.2843,3.2744
7/09/2022,3.2657,3.2559,3.2461
6/09/2022,3.1723,3.1628,3.1533
5/09/2022,3.1636,3.1541,3.1446
2/09/2022,3.1432,3.1338,3.1244
1/09/2022,3.2082,3.1986,3.189
31/08/2022,3.1834,3.1739,3.1644
30/08/2022,3.1962,3.1866,3.177
29/08/2022,3.2064,3.1968,3.1872
26/08/2022,3.2216,3.212,3.2024
25/08/2022,3.3395,3.3295,3.3195
24/08/2022,3.3173,3.3074,3.2975
23/08/2022,3.2776,3.2678,3.258
22/08/2022,3.3199,3.31,3.3001
19/08/2022,3.4205,3.4103,3.4001
18/08/2022,3.4798,3.4694,3.459
17/08/2022,3.4995,3.489,3.4785
16/08/2022,3.5135,3.503,3.4925
15/08/2022,3.5194,3.5089,3.4984
12/08/2022,3.4663,3.4559,3.4455
11/08/2022,3.3845,3.3744,3.3643
10/08/2022,3.4354,3.4251,3.4148
9/08/2022,3.3729,3.3628,3.3527
8/08/2022,3.419,3.4088,3.3986
5/08/2022,3.4824,3.472,3.4616
4/08/2022,3.5119,3.5014,3.4909
3/08/2022,3.4823,3.4719,3.4615
2/08/2022,3.3643,3.3542,3.3441
1/08/2022,3.3105,3.3006,3.2907
29/07/2022,3.327,3.317,3.307
28/07/2022,3.2497,3.24,3.2303
27/07/2022,3.2276,3.2179,3.2082
26/07/2022,3.0468,3.0377,3.0286
25/07/2022,3.163,3.1535,3.144
22/07/2022,3.1808,3.1713,3.1618
21/07/2022,3.2802,3.2704,3.2606
20/07/2022,3.2041,3.1945,3.1849
19/07/2022,3.116,3.1067,3.0974
18/07/2022,3.0476,3.0385,3.0294
15/07/2022,3.0757,3.0665,3.0573
14/07/2022,3.0404,3.0313,3.0222
13/07/2022,3.0233,3.0143,3.0053
12/07/2022,3.0386,3.0295,3.0204
11/07/2022,3.1176,3.1083,3.099
8/07/2022,3.149,3.1396,3.1302
7/07/2022,3.1647,3.1552,3.1457
6/07/2022,3.1173,3.108,3.0987
5/07/2022,3.1195,3.1102,3.1009
4/07/2022,3.0014,2.9924,2.9834
1/07/2022,3.0362,3.0271,3.018
30/06/2022,2.9417,2.9329,2.9241
29/06/2022,3.0049,2.9959,2.9869
28/06/2022,2.9881,2.9792,2.9703
27/06/2022,3.1035,3.0942,3.0849
24/06/2022,3.154,3.1446,3.1352
23/06/2022,3.032,3.0229,3.0138
22/06/2022,2.9443,2.9355,2.9267
21/06/2022,2.9262,2.9174,2.9086
20/06/2022,2.8393,2.8308,2.8223
17/06/2022,2.8639,2.8553,2.8467
16/06/2022,2.7867,2.7784,2.7701
15/06/2022,2.9449,2.9361,2.9273
14/06/2022,2.8591,2.8505,2.8419
13/06/2022,2.8417,2.8332,2.8247
10/06/2022,2.9682,2.9593,2.9504
9/06/2022,3.0739,3.0647,3.0555
8/06/2022,3.1452,3.1358,3.1264
7/06/2022,3.1312,3.1218,3.1124
6/06/2022,3.1106,3.1013,3.092
3/06/2022,3.0909,3.0817,3.0725
2/06/2022,3.1986,3.189,3.1794
1/06/2022,3.0875,3.0783,3.0691
31/05/2022,3.122,3.1127,3.1034
30/05/2022,3.1217,3.1124,3.1031
27/05/2022,3.1344,3.125,3.1156
26/05/2022,3.0447,3.0356,3.0265
25/05/2022,2.9492,2.9404,2.9316
24/05/2022,2.8648,2.8562,2.8476
23/05/2022,2.9694,2.9605,2.9516
20/05/2022,2.9645,2.9556,2.9467
19/05/2022,2.9862,2.9773,2.9684
18/05/2022,2.9754,2.9665,2.9576
17/05/2022,3.1298,3.1204,3.111
16/05/2022,3.0743,3.0651,3.0559
13/05/2022,3.1727,3.1632,3.1537
12/05/2022,3.0302,3.0211,3.012
11/05/2022,2.9552,2.9464,2.9376
10/05/2022,3.1037,3.0944,3.0851
9/05/2022,3.0583,3.0492,3.0401
6/05/2022,3.2317,3.222,3.2123
5/05/2022,3.2789,3.2691,3.2593
